gene	UMI
AKIRIN1	1448
AKIRIN2	1377
AKIRIN2-AS1	7
AKNA	85
AKNAD1	11
AKR1A1	2745
AKR1B1	81209
AKR1B10	127622
AKR1B15	192
AKR1C1	8277
AKR1C2	43752
AKR1C3	63821
AKR1C4	13
AKR1CL1	4
AKR1E2	100
AKR7A2	2558
AKR7A3	4
AKT1	828
AKT1S1	2677
AKT2	1865
AKT3	689
AKTIP	400
ALAD	269
ALAS1	1204
ALB	2
ALCAM	1993
ALDH16A1	1004
ALDH18A1	679
ALDH1A1	89013
ALDH1A3	168
ALDH1B1	1393
ALDH1L1	2
ALDH1L2	59
ALDH2	1771
ALDH3A1	58032
ALDH3A2	5157
ALDH3B1	3217
ALDH4A1	287
ALDH5A1	246
ALDH6A1	68
ALDH7A1	1420
ALDH8A1	6
ALDH9A1	1716
ALDOA	48125
ALDOC	183
ALG1	820
ALG10	70
ALG10B	151
ALG11	30
ALG12	402
ALG13	1287
ALG14	652
ALG1L	9
ALG2	785
ALG3	3796
ALG5	2209
ALG6	262
ALG8	1762
ALG9	419
ALK	1
ALKBH1	250
ALKBH2	2451
ALKBH3	1013
ALKBH4	610
ALKBH5	1781
ALKBH6	1422
ALKBH7	2932
ALKBH8	177
ALMS1	200
ALMS1P	3
ALOX12B	19
ALOX12P2	21
ALOX15	2
ALOX5AP	19
ALOXE3	15
ALPK1	100
ALPK2	240
ALPK3	7
ALPL	4
ALPP	1
ALS2	219
ALS2CL	33
ALS2CR12	4
ALS2CR8	39
ALX1	172
ALX4	6
AMACR	7
AMBP	235
AMBRA1	203
AMD1	3289
AMDHD1	151
AMDHD2	462
AMFR	453
AMH	286
AMHR2	96
AMICA1	1
AMIGO1	7
AMIGO2	2796
AMIGO3	23
AMMECR1	574
AMMECR1L	282
AMN	9
AMN1	373
AMOT	1
AMOTL1	302
AMOTL2	887
AMPD2	387
AMPD3	35
AMPH	1
AMT	9
AMTN	2
AMY2A	1
AMY2B	5
AMZ2	2619
AMZ2P1	862
ANAPC1	573
ANAPC10	540
ANAPC11	23932
ANAPC13	2140
ANAPC16	7982
ANAPC2	804
ANAPC4	425
ANAPC5	3853
ANAPC7	1473
ANG	417
ANGEL1	91
ANGEL2	412
ANGPT1	30
ANGPT2	36
ANGPTL1	1
ANGPTL4	1500
ANGPTL5	1
ANGPTL6	6
ANK1	71
ANK2	62
ANK3	47
ANKAR	68
ANKDD1A	17
ANKFN1	1
ANKFY1	738
ANKH	300
ANKHD1	546
ANKIB1	996
ANKLE1	9
ANKLE2	1527
ANKMY1	137
ANKMY2	281
ANKRA2	186
ANKRD1	521
ANKRD10	279
ANKRD10-IT1	29
ANKRD11	4287
ANKRD12	790
ANKRD13A	199
ANKRD13B	149
ANKRD13C	298
ANKRD13D	349
ANKRD16	412
ANKRD17	718
ANKRD18A	423
ANKRD19P	1
ANKRD2	420
ANKRD20A1	1
ANKRD20A2	1
ANKRD20A3	6
ANKRD20A4	11
ANKRD20A5P	130
ANKRD20A8P	2
ANKRD20A9P	31
ANKRD22	21
ANKRD23	34
ANKRD24	5
ANKRD26	1022
ANKRD26P1	1
ANKRD27	463
ANKRD28	969
ANKRD29	178
ANKRD30A	391
ANKRD30BL	33
ANKRD31	45
ANKRD32	1319
ANKRD33B	423
ANKRD34A	5
ANKRD34B	1
ANKRD36	464
ANKRD36B	290
ANKRD36BP1	187
ANKRD37	84
ANKRD39	1389
ANKRD40	815
ANKRD42	30
ANKRD43	1
ANKRD44	50
ANKRD45	3
ANKRD46	171
ANKRD49	227
ANKRD5	191
ANKRD50	318
ANKRD52	432
ANKRD54	664
ANKRD55	3
ANKRD57	334
ANKRD58	7
ANKRD6	30
ANKRD64	110
ANKRD7	1
ANKRD9	540
ANKS1A	220
ANKS1B	5
ANKS3	770
ANKS4B	23
ANKS6	232
ANKZF1	220
ANLN	1873
ANO1	8
ANO10	438
ANO5	180
ANO6	662
ANO7	34
ANO8	16
ANO9	5
ANP32A	7127
ANP32A-IT1	49
ANP32AP1	4
ANP32B	16808
ANP32C	10
ANP32E	2954
ANPEP	57
ANTXR1	1111
ANTXR2	35
ANTXRL	1
ANUBL1	64
ANXA1	27121
ANXA10	11
ANXA11	6083
ANXA13	317
ANXA2	124925
ANXA2P1	28
ANXA2P2	198
ANXA2P3	8
ANXA3	2183
ANXA4	4827
ANXA5	6411
ANXA6	887
ANXA7	3773
ANXA8	1
ANXA8L1	1
ANXA8L2	47
ANXA9	34
AOC2	24
AOC3	12
AOC4	1
AOX1	30
AP1AR	461
AP1B1	885
AP1G1	1148
AP1G2	491
AP1M1	1071
AP1M2	4893
AP1S1	4770
AP1S2	795
AP1S3	734
AP2A1	852
AP2A2	1274
AP2B1	4711
AP2M1	9171
AP2S1	24221
AP3B1	1447
AP3D1	1945
AP3M1	816
AP3M2	404
AP3S1	2454
AP3S2	9
AP4B1	154
AP4E1	285
AP4M1	429
AP4S1	307
APAF1	317
APBA1	2
APBA2	332
APBA3	254
APBB1	342
APBB1IP	28
APBB2	186
APBB3	48
APC	721
APC2	12
APEH	1570
APEX1	4938
APEX2	897
APH1A	1773
APH1B	603
API5	1362
APIP	1032
APITD1	1398
APITD1-CORT	29
APLF	42
APLN	29
APLP1	781
APLP2	2023
APOA1	7
APOA1BP	7853
APOBEC2	1
APOBEC3A	5
APOBEC3B	670
APOBEC3C	275
APOBEC3D	1
APOBEC3F	144
APOBEC3G	2
APOBEC3H	9
APOBR	1
APOC1	5704
APOC1P1	39
APOC3	2
APOD	34
APOE	160
APOF	2
APOH	389
APOL1	77
APOL2	417
APOL3	4
APOL4	2
APOL6	322
APOLD1	37
APOM	106
APOO	1642
APOOL	489
APOPT1	2440
APP	1647
APPBP2	571
APPL1	1144
APPL2	465
APRT	30914
APTX	1661
AQP1	2
AQP10	1
AQP11	78
AQP3	116
AQP7	6
AQP7P1	3
AQP7P3	8
AQPEP	1
AQR	717
AR	935
ARAF	774
ARAP1	285
ARAP2	51
ARAP3	67
ARC	14
ARCN1	1211
AREG	261
AREGB	7
ARF1	9800
ARF3	3941
ARF4	3582
ARF5	5865
ARF6	3043
ARFGAP1	907
ARFGAP2	952
ARFGAP3	439
ARFGEF1	716
ARFGEF2	526
ARFIP1	688
ARFIP2	1686
ARFRP1	1507
ARG2	41
ARGFX	1
ARGLU1	2997
ARHGAP1	754
ARHGAP10	403
ARHGAP11A	2259
ARHGAP11B	276
ARHGAP12	759
ARHGAP15	1
ARHGAP17	303
ARHGAP18	852
ARHGAP19	147
ARHGAP19-SLIT1	3
ARHGAP21	616
ARHGAP22	125
ARHGAP23	131
ARHGAP24	111
ARHGAP25	3
ARHGAP26	636
ARHGAP27	288
ARHGAP29	2148
ARHGAP30	1
ARHGAP31	13
ARHGAP32	115
ARHGAP33	67
ARHGAP35	1255
ARHGAP39	106
ARHGAP4	4
ARHGAP40	1
ARHGAP42	113
ARHGAP44	56
ARHGAP5	1798
ARHGAP8	3
ARHGAP9	3
ARHGDIA	11807
ARHGDIB	95
ARHGDIG	32
ARHGEF1	971
ARHGEF10	337
ARHGEF10L	66
ARHGEF11	84
ARHGEF12	896
ARHGEF16	73
ARHGEF17	90
ARHGEF18	314
ARHGEF19	194
ARHGEF2	208
ARHGEF25	65
ARHGEF26	313
ARHGEF26-AS1	3
ARHGEF3	87
ARHGEF33	1
ARHGEF35	9
ARHGEF37	10
ARHGEF4	19
ARHGEF40	92
ARHGEF5	21
ARHGEF6	1
ARHGEF7	400
ARHGEF9	469
ARID1A	1032
ARID1B	226
ARID2	366
ARID3A	87
ARID3B	58
ARID4A	606
ARID4B	1908
ARID5A	141
ARID5B	91
ARIH1	911
ARIH2	1383
ARL1	2317
ARL10	1
ARL13B	1105
ARL14	26
ARL15	58
ARL16	1405
ARL17A	64
ARL17B	8
ARL2	8778
ARL2BP	2037
ARL3	4635
ARL4A	2987
ARL4C	4263
ARL4D	473
ARL5A	2544
ARL5B	299
ARL6	76
ARL6IP1	12872
ARL6IP4	15645
ARL6IP5	3465
ARL6IP6	643
ARL8A	621
ARL8B	1352
ARL9	2
ARMC1	1907
ARMC10	2072
ARMC2	22
ARMC3	2
ARMC5	191
ARMC6	1022
ARMC7	496
ARMC8	381
ARMC9	320
ARMCX1	3
ARMCX2	1
ARMCX3	448
ARMCX3-AS1	1
ARMCX4	3
ARMCX5	185
ARMCX5-GPRASP2	41
ARMCX6	1145
ARMS2	1
ARNT	168
ARNT2	221
ARNTL	143
ARNTL2	147
ARPC1A	5447
ARPC1B	10801
ARPC2	11278
ARPC3	16678
ARPC4	4617
ARPC5	5764
ARPC5L	4897
ARPM1	69
ARPP19	3275
ARPP21	2
ARRB1	265
ARRB2	2345
ARRDC1	756
ARRDC2	370
ARRDC3	322
ARRDC4	17
ARSA	228
ARSB	105
ARSD	221
ARSE	1037
ARSG	28
ARSI	91
ARSJ	335
ARSK	124
ART5	5
ARTN	3
ARV1	1065
ARVCF	18
ARX	21
AS3MT	1
ASAH1	1223
ASAH2	3
ASAH2B	1
ASAP1	2408
ASAP1-IT1	83
ASAP2	779
ASAP3	38
ASB1	1232
ASB13	319
ASB15	1
ASB16	3
ASB2	17
ASB3	129
ASB4	8
ASB5	1
ASB6	436
ASB7	249
ASB8	645
ASB9	1096
ASCC1	1037
ASCC2	749
ASCC3	1029
ASCL1	4
ASCL2	5
ASF1A	532
ASF1B	1382
ASGR1	15
ASGR2	1
ASH1L	1149
ASH2L	532
ASL	1088
ASMTL	813
ASMTL-AS1	32
ASNA1	3291
