gene	UMI
DTWD2	140
DTX1	7
DTX2	1308
DTX2P1-UPK3BP1-PMS2P11	13
DTX3	108
DTX3L	487
DTX4	87
DTYMK	16086
DUOXA1	1
DUS1L	2181
DUS2L	739
DUS3L	853
DUS4L	311
DUSP1	5632
DUSP10	59
DUSP11	596
DUSP12	1266
DUSP13	8
DUSP14	1274
DUSP15	6
DUSP16	191
DUSP18	94
DUSP19	50
DUSP2	6
DUSP22	305
DUSP23	3975
DUSP26	6
DUSP28	356
DUSP3	1290
DUSP4	4381
DUSP5	1156
DUSP5P	12
DUSP6	377
DUSP7	53
DUSP8	46
DUSP9	59
DUT	5316
DUX4L9	1
DUXA	1
DVL1	501
DVL2	478
DVL3	355
DYDC2	1
DYM	226
DYNC1H1	4844
DYNC1I1	2
DYNC1I2	1755
DYNC1LI1	2497
DYNC1LI2	2081
DYNC2H1	418
DYNC2LI1	350
DYNLL1	34383
DYNLL2	757
DYNLRB1	9950
DYNLRB2	7
DYNLT1	4660
DYNLT3	905
DYRK1A	334
DYRK1B	184
DYRK2	240
DYRK3	78
DYRK4	1255
DYSF	4
DYSFIP1	4
DYX1C1	42
DZIP1	383
DZIP1L	49
DZIP3	468
E2F1	1174
E2F2	130
E2F3	453
E2F4	1328
E2F5	282
E2F6	878
E2F7	123
E2F8	195
E4F1	610
EAF1	419
EAF2	185
EAPP	1754
EARS2	584
EBAG9	1046
EBF1	48
EBF3	1
EBF4	44
EBI3	42
EBLN2	101
EBNA1BP2	10544
EBP	8997
EBPL	4057
ECD	434
ECE1	618
ECE2	1338
ECEL1	2
ECH1	17922
ECHDC1	1759
ECHDC2	238
ECHDC3	173
ECHS1	11216
ECI1	3698
ECI2	2278
ECM1	68
ECM2	8
ECSIT	1536
ECT2	3669
ECT2L	1
EDA	19
EDA2R	161
EDARADD	126
EDC3	370
EDC4	794
EDEM1	269
EDEM2	1295
EDEM3	236
EDF1	35047
EDN1	4621
EDN2	138
EDN3	2
EDNRA	8
EEA1	686
EED	877
EEF1A1	126326
EEF1A2	1200
EEF1B2	38662
EEF1D	50878
EEF1E1	2551
EEF1G	86000
EEF2	18284
EEF2K	251
EEFSEC	287
EEPD1	476
EFCAB10	94
EFCAB11	454
EFCAB2	306
EFCAB3	1
EFCAB4A	321
EFCAB4B	8
EFCAB5	34
EFCAB6	7
EFCAB7	94
EFCAB9	1
EFEMP1	151
EFEMP2	7
EFHA1	772
EFHA2	145
EFHB	89
EFHC1	274
EFHC2	1
EFHD1	23
EFHD2	3290
EFNA1	931
EFNA2	7
EFNA3	98
EFNA4	288
EFNA5	638
EFNB1	95
EFNB2	86
EFNB3	7
EFR3A	1610
EFR3B	326
EFTUD1	554
EFTUD2	3408
EGF	2
EGFL7	3728
EGFR	854
EGLN1	1824
EGLN2	4
EGLN3	130
EGOT	3
EGR1	917
EGR2	4
EGR3	10
EGR4	45
EHBP1	1851
EHBP1L1	780
EHD1	2008
EHD2	1485
EHD3	121
EHD4	350
EHF	122
EHHADH	89
EHMT1	1131
EHMT2	625
EI24	5138
EID1	7896
EID2	1202
EID2B	560
EID3	437
EIF1	86759
EIF1AD	811
EIF1AX	12647
EIF1AY	3057
EIF1B	2068
EIF2A	1629
EIF2AK1	3280
EIF2AK2	2181
EIF2AK3	123
EIF2AK4	1255
EIF2B1	1971
EIF2B2	1689
EIF2B3	1517
EIF2B4	1290
EIF2B5	734
EIF2C1	257
EIF2C2	333
EIF2C3	120
EIF2C4	44
EIF2D	700
EIF2S1	5021
EIF2S2	17447
EIF2S3	4583
EIF3A	7742
EIF3B	8859
EIF3C	48
EIF3D	6472
EIF3E	9205
EIF3F	13377
EIF3G	8645
EIF3H	9999
EIF3I	11949
EIF3IP1	1
EIF3J	5095
EIF3K	61110
EIF3L	6059
EIF3M	12111
EIF4A1	35
EIF4A2	1774
EIF4A3	6301
EIF4B	6462
EIF4E	2353
EIF4E2	4272
EIF4E3	119
EIF4EBP1	11604
EIF4EBP2	594
EIF4ENIF1	293
EIF4G1	3807
EIF4G2	14548
EIF4G3	737
EIF4H	5892
EIF5	11026
EIF5A	15958
EIF5A2	424
EIF5AL1	489
EIF5B	10186
EIF6	20330
ELAC1	202
ELAC2	3143
ELANE	5
ELAVL1	2482
ELAVL2	2
ELAVL3	1
ELAVL4	1
ELF1	732
ELF2	276
ELF3	3892
ELF4	262
ELFN2	49
ELK1	334
ELK3	213
ELK4	357
ELL	160
ELL2	381
ELL3	9
ELMO1	19
ELMO2	218
ELMO3	49
ELMOD1	4
ELMOD2	425
ELMOD3	204
ELN	16
ELOF1	4326
ELOVL1	1940
ELOVL2	194
ELOVL3	9
ELOVL4	103
ELOVL5	1778
ELOVL6	816
ELOVL7	132
ELP2	738
ELP3	812
ELP4	353
EMB	210
EMBP1	10
EMD	1947
EME1	453
EME2	1
EMG1	6226
EMID1	3
EMID2	9
EMILIN1	28
EMILIN2	82
EMILIN3	4
EML1	462
EML2	278
EML3	392
EML4	3300
EML5	27
EML6	16
EMP1	169
EMP2	2023
EMP3	29939
EMR1	593
EMR2	9
EMX1	1
EMX2	5
EN1	23
EN2	9
ENAH	3412
ENC1	729
ENDOD1	387
ENDOG	1791
ENDOU	1
ENDOV	1556
ENGASE	237
ENHO	102
ENKUR	6
ENO1	89687
ENO1-AS1	25
ENO2	852
ENO3	1157
ENO4	11
ENOPH1	1361
ENOSF1	911
ENOX1	13
ENOX2	496
ENPEP	3
ENPP1	103
ENPP4	30
ENSA	3912
ENTPD1	4
ENTPD2	7
ENTPD3-AS1	19
ENTPD4	118
ENTPD5	32
ENTPD6	2127
ENTPD7	111
ENTPD8	10
ENY2	12150
EOMES	9
EP300	379
EP400	947
EP400NL	21
EPAS1	1853
EPB41	204
EPB41L1	1011
EPB41L2	1199
EPB41L3	5
EPB41L4A	195
EPB41L4A-AS1	1139
EPB41L4B	214
EPB41L5	259
EPB49	446
EPC1	562
EPC2	130
EPCAM	112
EPDR1	1339
EPG5	98
EPHA10	18
EPHA2	1066
EPHA4	11
EPHA5	5
EPHA6	2
EPHA7	11
EPHB2	440
EPHB3	24
EPHB4	267
EPHB6	11
EPHX1	2999
EPHX2	342
EPHX3	5
EPHX4	4
EPM2A	32
EPM2AIP1	615
EPN1	3619
EPN2	813
EPN3	19
EPO	5
EPOR	169
EPRS	4681
EPS15	445
EPS15L1	176
EPS8	1033
EPS8L1	154
EPS8L2	1361
EPS8L3	17
EPSTI1	8
EPT1	630
ERAL1	2837
ERAP1	122
ERAP2	73
ERAS	5
ERBB2	281
ERBB2IP	1212
ERBB3	54
ERC1	906
ERCC1	5353
ERCC2	221
ERCC3	751
ERCC4	782
ERCC5	8
ERCC6	113
ERCC6L	506
ERCC8	273
EREG	1889
ERF	886
ERGIC1	2817
ERGIC2	2004
ERGIC3	6629
ERH	12671
ERI1	700
ERI2	302
ERI3	2961
ERICH1	1351
ERLEC1	2067
ERLIN1	979
ERLIN2	317
ERMAP	98
ERMP1	477
ERN1	17
ERN2	1
ERO1L	762
ERO1LB	135
ERP29	8195
ERP44	1144
ERRFI1	1343
ERV3-1	18
ERVMER34-1	21
ERVV-1	2
ERVW-1	2
ESAM	142
ESCO1	486
ESCO2	1376
ESD	3171
ESF1	4450
ESPL1	263
ESPN	1
ESPNL	3
ESR1	1
ESR2	2
ESRG	2
ESRRA	1064
ESRRB	1
ESRRG	1
ESYT1	1014
ESYT2	747
ESYT3	3
ETAA1	521
ETF1	4849
ETFA	7893
ETFB	21451
ETFDH	146
ETHE1	2373
ETNK1	1179
ETNK2	77
ETS1	336
ETS2	1187
ETV1	167
ETV2	138
ETV3	89
ETV3L	1
ETV4	1223
ETV5	700
ETV6	164
ETV7	14
EVC	77
EVC2	38
EVI2B	1
EVI5	909
EVI5L	45
EVL	488
EVPL	247
EVPLL	1
EWSR1	2727
EXD1	1
EXD2	164
EXD3	16
EXO1	524
EXOC1	469
EXOC2	199
EXOC3	870
EXOC3L1	8
EXOC3L2	13
EXOC3L4	86
EXOC4	556
EXOC5	1783
EXOC6	939
EXOC6B	143
EXOC7	957
EXOC8	222
EXOG	208
EXOSC1	2956
EXOSC10	750
EXOSC2	2503
EXOSC3	2760
EXOSC4	5984
EXOSC5	6251
EXOSC6	606
EXOSC7	3586
EXOSC8	3353
EXOSC9	1223
EXPH5	11
EXT1	440
EXT2	756
EXTL1	2
EXTL2	352
EXTL3	344
EYA2	59
EYA3	129
EYA4	284
EZH1	239
EZH2	1192
EZR	8349
F10	2
F11R	411
F12	1476
F13B	2
F2	31
F2R	399
F2RL1	534
F2RL2	83
F3	25
F5	2
F7	5
F8	108
F8A1	2392
FA2H	551
FAAH	24
FAAH2	1
FABP5	20959
FABP5P3	5
FABP6	74
FADD	2392
FADS1	7730
FADS2	3741
FADS3	538
FAF1	926
FAF2	1361
FAH	1625
FAHD1	1645
FAHD2A	1205
FAHD2B	482
FAIM	529
FAIM2	2
FAIM3	90
FAM100A	1560
FAM100B	897
FAM101B	1213
FAM102A	721
FAM102B	66
FAM103A1	666
FAM104A	2240
FAM104B	1302
FAM105A	64
FAM105B	427
FAM106A	4
FAM106CP	6
FAM107B	2692
FAM108A1	702
FAM108A4	1
FAM108B1	299
FAM108C1	403
FAM109A	107
FAM110A	328
FAM110B	17
FAM110C	16
FAM111A	665
FAM111B	670
FAM113A	234
FAM113B	782
FAM114A1	806
FAM114A2	291
FAM115A	1178
FAM115C	4
FAM116A	159
FAM116B	62
FAM117A	24
FAM117B	122
FAM118A	184
FAM118B	411
FAM120A	2422
FAM120AOS	1283
FAM120B	185
FAM120C	220
FAM122A	236
FAM122B	587
FAM122C	30
FAM123B	43
FAM124A	47
FAM125A	1499
FAM125B	128
FAM126A	358
FAM126B	227
FAM127A	2481
FAM127B	3345
FAM127C	185
FAM129A	60
FAM129B	1303
FAM129C	2
FAM131A	67
FAM131B	2
FAM131C	625
FAM132A	22
FAM132B	34
FAM133A	109
FAM133B	1636
FAM134A	649
FAM134B	74
FAM134C	690
FAM135A	257
FAM136A	6643
FAM13A	153
FAM13B	224
FAM149A	27
FAM149B1	31
FAM150A	5
FAM151B	49
FAM153B	5
FAM153C	1
FAM154B	2
FAM155B	76
FAM158A	5565
FAM159A	5
FAM159B	3
FAM160A1	2
FAM160A2	207
FAM160B1	255
FAM160B2	341
FAM161A	882
FAM161B	20
FAM162A	2916
FAM162B	3
FAM163A	1
FAM164A	407
FAM164C	73
FAM165B	949
FAM166A	3
FAM166B	14
FAM167A	67
FAM167B	8
FAM168A	8
FAM168B	1717
FAM169A	210
FAM171A1	272
FAM171A2	1
FAM171B	53
FAM172A	409
FAM173A	6547
FAM173B	206
FAM174A	399
FAM174B	174
FAM175A	221
FAM175B	610
FAM176A	70
FAM176B	570
FAM177A1	2993
FAM178A	920
FAM179A	9
FAM179B	274
FAM181B	5
FAM182B	1
FAM183A	25
FAM183B	2
FAM184B	63
FAM185A	245
FAM186B	2
FAM188A	346
FAM188B	12
FAM189A1	1
FAM189A2	1
FAM189B	629
FAM18B1	392
FAM18B2	121
FAM190A	1
FAM190B	849
FAM192A	3419
FAM193A	192
FAM193B	113
FAM194A	1
FAM195A	3339
FAM195B	3680
FAM196A	3
FAM196B	1
FAM198B	10
FAM199X	691
FAM19A4	1
FAM19A5	70
FAM200A	221
FAM200B	1055
FAM201A	93
FAM202A	6
FAM203B	9
FAM204A	1954
FAM206A	272
FAM207A	4507
FAM208A	616
FAM208B	1128
FAM20B	605
FAM20C	471
FAM21A	10
FAM21B	53
FAM21C	302
FAM22A	8
FAM24B	439
FAM25A	6
FAM26D	1
FAM26E	2
FAM26F	4
FAM27A	35
FAM27E3	14
FAM32A	3428
FAM35A	768
FAM35B	1
FAM35B2	4
FAM36A	4686
FAM3A	1705
FAM3B	1
FAM3C	1044
FAM3D	1
FAM40A	141
FAM40B	46
FAM41C	43
FAM43A	84
FAM43B	39
FAM45A	1232
FAM45B	69
FAM46A	421
FAM46B	49
FAM46C	3
FAM47E	2
FAM48A	529
FAM49A	1
FAM49B	2748
FAM50A	6321
FAM50B	171
FAM53A	19
FAM53B	153
FAM53C	290
FAM54A	553
FAM54B	645
FAM55C	589
FAM57A	704
FAM57B	9
FAM58A	1937
FAM59A	49
FAM59B	134
FAM60A	1280
FAM63A	26
FAM63B	578
FAM64A	1905
FAM65A	410
FAM66B	1
FAM66C	16
FAM66D	1
FAM69A	146
FAM69B	241
FAM70A	2
FAM70B	6
FAM71A	7
FAM71E1	96
FAM71E2	1
FAM71F1	1
FAM72A	51
FAM72B	64
FAM72D	226
FAM73A	360
FAM73B	171
FAM74A3	1
FAM76A	145
FAM76B	258
FAM78A	6
FAM78B	4
FAM7A1	1
FAM7A3	7
FAM81A	314
FAM82A1	90
FAM82A2	518
FAM82B	1035
FAM83A	6
FAM83B	1
FAM83C	1
FAM83D	1274
FAM83E	6
FAM83G	10
FAM83H	489
FAM84A	1
FAM84B	193
FAM85A	19
FAM86A	1304
FAM86B1	44
FAM86B2	2
FAM86C1	373
FAM86C2P	357
FAM86DP	750
FAM86EP	283
FAM86FP	411
FAM86HP	25
FAM89A	619
FAM89B	657
FAM8A1	115
FAM90A1	1
FAM90A25P	1
FAM90A7	1
FAM91A1	952
FAM92A1	577
FAM92B	1
FAM95B1	14
FAM96A	3969
FAM96B	11228
FAM98A	1479
FAM98B	101
FAM98C	1236
FAN1	376
FANCA	637
FANCB	352
FANCC	313
FANCD2	722
FANCE	134
FANCF	340
FANCG	792
FANCI	1840
FANCL	813
FANCM	306
FANK1	24
FAP	34
FAR1	1138
FARP1	442
FARP2	40
FARS2	621
FARSA	2991
FARSB	2458
FAS	191
FASN	3389
FASTK	2403
FASTKD1	459
FASTKD2	1101
FASTKD3	304
FASTKD5	715
FAT1	1174
FAT3	24
FAT4	7
FAU	71093
FBF1	13
FBL	26006
FBLIM1	337
FBLL1	3
FBLN1	890
FBLN2	4
FBLN5	20
FBLN7	4
FBN1	47
FBN2	243
FBN3	3
FBRS	358
FBRSL1	177
FBXL12	245
FBXL13	25
FBXL14	10
FBXL15	1089
FBXL16	13
FBXL17	211
FBXL18	351
FBXL19	140
FBXL19-AS1	68
FBXL2	109
FBXL20	178
FBXL21	1
FBXL22	30
FBXL3	243
FBXL4	155
FBXL5	374
FBXL6	596
FBXL7	29
FBXL8	48
FBXO10	41
FBXO11	877
FBXO15	39
FBXO16	129
FBXO17	4641
FBXO18	762
FBXO2	177
FBXO21	788
FBXO22	2378
FBXO24	13
FBXO25	680
FBXO27	125
FBXO28	495
FBXO3	224
FBXO30	275
FBXO31	239
FBXO32	50
FBXO33	255
FBXO34	305
FBXO36	56
FBXO38	220
FBXO4	154
FBXO41	36
FBXO42	136
FBXO43	82
FBXO44	396
FBXO45	503
FBXO46	91
FBXO48	110
FBXO5	815
FBXO6	254
FBXO7	1552
FBXO8	180
FBXO9	973
FBXW10	86
FBXW11	557
FBXW2	1328
FBXW4	342
FBXW4P1	24
FBXW5	2486
FBXW7	265
FBXW8	182
FBXW9	527
FCER1A	1
FCER1G	7
FCER2	1
FCF1	304
FCGBP	77
FCGRT	1056
FCHO1	978
FCHO2	313
FCHSD1	43
FCHSD2	184
FCRL6	1
FCRLB	70
FDFT1	6290
FDPS	12057
FDPSL2A	27
FDX1	1319
FDX1L	1846
FDXACB1	82
FDXR	4194
FECH	651
FEM1A	182
FEM1B	71
FEM1C	202
FEN1	3059
FER	334
FER1L4	42
FER1L6	2
FERMT1	834
FERMT2	853
FERMT3	20
FES	501
FETUB	6
FEZ1	7
FEZ2	4463
FFAR2	1
FGA	243
FGB	173
FGD1	94
FGD2	2
FGD3	13
FGD4	169
FGD6	967
FGF1	7
FGF11	6
FGF12	17
FGF14	1
FGF14-IT1	1
FGF18	11
FGF2	884
FGF21	1
FGF5	1
FGFBP1	169
FGFBP2	1
FGFBP3	166
FGFR1	1238
FGFR1OP	262
FGFR1OP2	1126
FGFR2	1
FGFR3	35
FGFR4	546
FGFRL1	137
FGG	102
FGGY	85
FGL1	514
FGL2	1
FH	3038
FHAD1	10
FHDC1	9
FHIT	25
FHL1	293
FHL2	1458
FHL3	241
FHOD1	670
FHOD3	81
FIBCD1	95
FIBP	4581
FICD	88
FIG4	152
FIGN	84
FIGNL1	376
FIGNL2	5
FILIP1	140
FILIP1L	3
FIP1L1	1065
FIS1	6049
FITM1	1
FITM2	201
FIZ1	236
FJX1	503
FKBP10	1420
FKBP11	1013
FKBP14	192
FKBP15	343
FKBP1A	16691
FKBP1AP1	28
FKBP1B	407
FKBP2	12071
FKBP3	7818
FKBP4	8880
FKBP5	399
FKBP7	236
FKBP8	4065
FKBP9	816
FKBP9L	3
FKBPL	361
FKRP	114
FKTN	241
FLAD1	1678
FLCN	248
FLII	2210
FLJ10038	758
FLJ10661	46
FLJ11235	5
FLJ13197	4
FLJ14107	26
FLJ14186	10
FLJ16779	10
FLJ20021	488
FLJ20444	1
FLJ21369	38
FLJ22184	20
FLJ22447	2
FLJ23152	2
FLJ23867	26
FLJ26245	1
FLJ26484	56
FLJ27243	1
FLJ27352	126
FLJ27354	10
FLJ30403	15
FLJ30679	1
FLJ30838	1
FLJ31104	35
FLJ31306	620
FLJ31356	1
FLJ31813	15
FLJ32063	1
FLJ32154	1
FLJ32224	20
FLJ32255	193
FLJ33065	5
FLJ33630	179
FLJ33996	24
FLJ35024	29
FLJ35282	3
FLJ35390	1
FLJ35776	436
FLJ35946	8
FLJ36644	9
FLJ36777	8
FLJ37035	39
FLJ37201	17
FLJ37396	2
FLJ37453	299
FLJ37798	75
FLJ38109	1
FLJ38717	57
FLJ39051	80
FLJ39061	4
FLJ39534	32
FLJ39582	127
FLJ39632	86
FLJ39639	4
FLJ39653	1
FLJ40292	5
FLJ40448	3
FLJ40852	2
FLJ41200	1
FLJ41309	2
FLJ41484	69
FLJ41757	111
FLJ42289	35
FLJ42351	5
FLJ42392	1
FLJ42393	10
FLJ42627	86
FLJ42709	127
FLJ43663	225
FLJ43681	1
FLJ43826	1
FLJ44313	3
FLJ44342	529
FLJ44511	11
FLJ44635	38
FLJ45340	214
FLJ45513	126
FLJ45983	7
FLJ46010	1
FLJ46906	169
FLJ90757	69
FLNA	13944
FLNB	7567
FLNB-AS1	9
FLNC	7
FLOT1	3389
FLOT2	1303
FLRT1	1
FLRT2	24
FLRT3	151
FLT3	1
FLT3LG	47
FLT4	135
FLVCR1	862
FLVCR1-AS1	96
FLVCR2	50
FLYWCH1	480
FLYWCH2	789
FMN1	67
FMN2	69
FMNL1	426
FMNL2	540
FMNL3	26
FMO4	2
FMO5	6
FMR1	870
FMR1-AS1	20
FN1	1253
FN3K	19
FN3KRP	2355
FNBP1	685
FNBP1L	709
FNBP4	1454
FNDC3A	595
FNDC3B	839
FNDC4	71
FNDC8	1
FNIP1	280
FNIP2	80
FNTA	2104
FNTB	4
FOLR1	11
FOLR3	1
FONG	62
FOPNL	2362
FOS	294
FOSB	102
FOSL1	1773
FOSL2	436
FOXA1	138
FOXA2	687
FOXA3	90
FOXC1	99
FOXC2	1
FOXD1	88
FOXD2	14
FOXD3	5
FOXD4	1
FOXD4L1	8
FOXE1	95
FOXF2	69
FOXG1	1
FOXH1	4
FOXJ1	4
FOXJ2	184
FOXJ3	582
FOXK1	319
FOXK2	686
FOXL1	8
FOXL2	78
FOXM1	1630
FOXN2	642
FOXN3	98
FOXO1	128
FOXO3	182
FOXO3B	110
FOXO4	7
FOXO6	2
FOXP1	240
FOXP1-IT1	32
FOXP2	1
FOXP3	2
FOXP4	238
FOXQ1	20
FOXRED1	954
FOXRED2	254
FOXS1	5
FP2234	3
FP6628	30
FPGS	729
FPGT	246
FRA10AC1	1482
FRAS1	106
FRAT1	20
FRAT2	122
FRG1	1697
FRG1B	460
FRK	107
FRMD3	94
FRMD4A	172
FRMD4B	57
FRMD5	20
FRMD6	264
FRMD8	347
FRMPD2P1	1
FRMPD4	3
FRRS1	15
FRS2	240
FRS3	15
FRY	2
FRY-AS1	3
FRYL	474
FRZB	4
FSCN1	4068
FSCN2	2
FSD1	410
FSD1L	125
FSIP1	64
FSIP2	1
FST	635
FSTL1	500
FSTL3	1963
FSTL4	33
FTH1	404149
FTH1P3	208
FTL	745587
FTO	240
FTSJ1	708
FTSJ2	2510
FTSJ3	2549
FTSJD1	261
FTSJD2	235
FTX	12
FUBP1	1386
FUBP3	790
FUCA1	255
FUCA2	1788
FUK	113
FUNDC1	1359
FUNDC2	3916
FURIN	260
FUS	11894
FUT1	1
FUT10	111
FUT11	74
FUT4	65
FUT5	1
FUT7	1
FUT8	169
FUZ	285
FXC1	1643
FXN	963
FXR1	1941
FXR2	1115
FXYD1	5
FXYD2	102
FXYD3	1
FXYD5	10098
FXYD6	13
FXYD6-FXYD2	5
FXYD7	8
FYB	1389
FYCO1	120
FYN	22
FYTTD1	786
FZD1	36
FZD2	1641
FZD3	343
FZD4	36
FZD5	197
FZD6	257
FZD7	64
FZD8	36
FZD9	43
FZR1	450
G0S2	68
G2E3	891
G3BP1	2496
G3BP2	2436
G6PC3	2801
G6PD	45529
GAA	637
GAB1	37
GAB2	41
GAB3	2
GABARAP	16237
GABARAPL1	262
GABARAPL2	5436
GABARAPL3	1
GABBR1	44
GABBR2	3
GABPA	227
GABPB1	715
GABPB2	51
GABRA3	2
GABRA5	563
GABRB3	1243
GABRD	17
GABRE	72
GABRG3	2
GABRQ	5
GAD1	11
GADD45A	1483
GADD45B	2172
GADD45G	22
GADD45GIP1	16859
GAK	577
GAL	742
GAL3ST1	589
GALC	219
GALE	2238
GALK1	3191
GALK2	430
GALM	1343
GALNS	698
GALNT1	2532
GALNT10	2161
GALNT11	417
GALNT12	53
GALNT13	402
GALNT14	909
GALNT2	1470
GALNT3	2
GALNT4	5
GALNT5	38
GALNT6	65
GALNT7	908
GALNT9	7
GALNTL1	26
GALNTL4	376
GALR2	64
GALT	547
GAMT	1729
GAN	94
GANAB	1488
GANC	19
GAPDH	388330
GAPDHS	2
GAPVD1	585
GAR1	2082
GARNL3	25
GARS	4723
GART	1533
GAS1	2
GAS2L1	595
GAS2L2	1
GAS2L3	199
GAS5	7716
GAS6	101
GAS7	15
GAS8	413
GAST	2
GATA2	48
GATA3	182
GATA4	48
GATA5	10
GATA6	41
GATAD1	661
GATAD2A	627
GATAD2B	354
GATC	820
GATM	91
GATS	248
GATSL2	1
GATSL3	328
GBA	52
GBA2	274
GBAP1	15
GBAS	2130
GBE1	707
GBF1	625
GBGT1	16
GBP1	47
GBP2	17
GBP3	42
GBP4	42
GBP5	2
GBP7	5
GBX2	13
GCA	352
GCAT	341
GCC1	304
GCC2	1349
GCDH	467
GCET2	1
GCFC1	851
GCFC1-AS1	9
GCGR	1
GCH1	104
GCHFR	453
GCKR	6
GCLC	3153
GCLM	6403
GCM1	2
GCN1L1	1265
GCNT1	46
GCNT2	448
GCNT3	1647
GCNT4	2
GCOM1	15
GCSH	7280
GDA	15
GDAP1	565
GDAP1L1	1
GDAP2	213
GDE1	3216
GDF11	112
GDF15	5263
GDF5	1
GDF9	3
GDI1	934
GDI2	8102
GDPD1	26
GDPD2	3
GDPD3	34
GDPD5	91
GEM	95
GEMIN2	628
GEMIN4	1659
GEMIN5	836
GEMIN6	3278
GEMIN7	3060
GEMIN8	508
GEMIN8P4	77
GEN1	503
GET4	2299
GFAP	16
GFER	1745
GFI1	2
GFM1	1093
GFM2	476
GFOD1	77
GFOD2	476
GFPT1	1254
GFPT2	356
GFRA1	296
GFRA2	2
GFRA3	4
GGA1	446
GGA2	984
GGA3	369
GGCT	5525
GGCX	480
GGH	3133
GGN	4
GGNBP2	3114
GGPS1	760
GGT1	413
GGT3P	9
GGT5	3
GGT7	52
GGT8P	50
GGTA1P	1
GGTLC2	6
GH1	1
GHDC	321
GHITM	9318
GHR	1
GHRL	3
GHRLOS	14
GHRLOS2	14
GIGYF1	141
GIGYF2	1027
GIMAP2	1
GIN1	217
GINS1	999
GINS2	4749
GINS3	419
GINS4	785
GIP	416
GIPC1	4306
GIPC2	1
GIT1	1050
GIT2	355
GJA1	1101
GJA3	11
GJB1	8
GJB2	19
GJB3	13
GJB4	3
GJB5	2
GJB6	1
GJC1	375
GJC2	2
GJC3	11
GJD3	4
GK	94
GK3P	2
GK5	275
GKAP1	648
GKN1	6
GKN2	31
GLA	4253
GLB1	791
GLB1L	50
GLB1L2	83
GLCCI1	88
GLCE	215
GLDC	321
GLE1	760
GLG1	1030
GLI1	187
GLI2	352
GLI4	788
GLIPR1	246
GLIPR1L2	17
GLIPR2	153
GLIS1	1
GLIS2	434
GLIS3	339
GLMN	356
GLO1	4230
GLOD4	3246
GLP2R	4
GLRB	42
GLRX	5906
GLRX2	3529
GLRX3	7794
GLRX5	4153
GLS	446
GLS2	3
GLT25D1	967
GLT25D2	5
GLT8D1	590
GLT8D2	1
GLTP	598
GLTPD1	703
GLTPD2	3
GLTSCR1	160
GLTSCR2	12815
GLUD1	1504
GLUD2	43
GLUL	181
GLYCTK	204
GLYR1	704
GM2A	404
GMCL1	298
GMCL1P1	1
GMDS	429
GMEB1	226
GMEB2	149
GMFB	1200
GMFG	20
GMIP	35
GMNC	1
GMNN	2882
GMPPA	997
GMPPB	1077
GMPR	20
GMPR2	830
GMPS	3153
GNA11	220
GNA12	498
GNA13	1016
GNA15	1
GNAI1	671
GNAI2	1132
GNAI3	1847
GNAL	201
GNAO1	1
GNAQ	85
GNAS	3765
GNAT2	2
GNAZ	76
GNB1	3499
GNB1L	818
GNB2	5206
GNB2L1	89515
GNB3	12
GNB4	553
GNB5	799
GNE	306
GNG10	44
GNG11	4208
GNG12	2528
GNG2	22
GNG4	236
GNG5	9659
GNG7	3
GNG8	1
GNGT1	1
GNGT2	7
GNL1	796
GNL2	1206
GNL3	2613
GNL3L	1075
GNLY	2
GNMT	7
GNN	13
GNPAT	1370
GNPDA1	1448
GNPDA2	138
GNPNAT1	1335
GNPTAB	601
GNPTG	363
GNRH1	24
GNRHR2	3
GNS	832
GOLGA1	491
GOLGA2	918
GOLGA2P5	49
GOLGA3	1045
GOLGA4	4242
GOLGA5	528
GOLGA6C	1
GOLGA6L10	1
GOLGA6L5	40
GOLGA6L9	21
GOLGA7	1645
GOLGA7B	31
GOLGA8A	96
GOLGA8B	242
GOLGA8G	1
GOLGA8H	11
GOLGA8IP	10
GOLGB1	1755
GOLIM4	718
GOLM1	2459
GOLPH3	701
GOLPH3L	378
GOLT1A	216
GOLT1B	1824
GON4L	854
GOPC	1686
GORAB	200
GORASP1	228
GORASP2	1422
GOSR1	1962
GOSR2	1351
GOT1	2087
GOT2	3468
GP1BA	7
GP6	3
GPAA1	3926
GPAM	287
GPANK1	564
GPATCH1	590
GPATCH2	808
GPATCH3	269
GPATCH4	5620
GPATCH8	1009
GPBAR1	3
GPBP1	2359
GPBP1L1	440
GPC1	2147
GPC2	11
GPC6	102
GPCPD1	620
GPD1L	279
GPD2	840
GPER	2
GPHN	276
GPI	10510
GPIHBP1	1
GPKOW	1225
GPLD1	28
GPM6B	119
GPN1	1341
GPN2	672
GPN3	1537
GPNMB	39
GPR107	553
GPR108	677
GPR113	3
GPR115	33
GPR12	1
GPR124	14
GPR125	192
GPR126	1073
GPR133	8
GPR135	96
GPR137	902
GPR137B	175
GPR137C	4
GPR143	2
GPR146	13
GPR153	19
GPR155	28
GPR156	1
GPR157	2
GPR158	1
GPR160	47
GPR161	174
GPR162	45
GPR171	1
GPR172A	3604
GPR172B	23
GPR173	1
GPR176	6
GPR180	385
GPR19	22
GPR20	3
GPR3	28
GPR34	1
GPR35	18
GPR37	11
GPR37L1	2
GPR39	228
GPR44	3
GPR50	1
GPR52	1
GPR55	1
GPR56	505
GPR63	10
GPR64	89
GPR68	1
GPR75	5
GPR82	25
GPR83	1
GPR87	1
GPR89A	271
