UID	gene_id	DNA_1	RNA_1	DNA_2	RNA_2	DNA_3	RNA_3
HGLibB_29187	MICU3	60939	54624	102280	111519	110967	104268
HGLibA_29437	MLX	19498	20141	16659	20449	12782	15272
HGLibA_29439	MLX	208023	203049	69187	97940	78656	98178
HGLibB_29398	MLX	223758	225197	119891	154418	134656	149854
HGLibA_29930	MRPL22	90687	80710	83293	79384	91037	79210
HGLibA_29931	MRPL22	1039	1218	17626	16990	6739	7252
HGLibB_29888	MRPL22	126184	118830	79565	89583	80987	95536
HGLibA_30453	MTOR	8277	5745	31875	37520	34691	36821
HGLibA_30454	MTOR	94329	84193	55131	60586	92843	91883
HGLibB_30413	MTOR	21510	20008	28855	36663	13981	17314
HGLibA_30456	MTPAP	112610	115219	70800	92811	89232	99299
HGLibA_30458	MTPAP	97940	82116	74808	86665	102792	102310
HGLibB_30414	MTPAP	8319	7710	9774	11747	4578	4666
HGLibA_30519	MUC1	89320	94407	60460	76196	85531	112298
HGLibA_30520	MUC1	21616	19947	27126	39057	34036	41110
HGLibB_30478	MUC1	13892	12185	58163	67899	46325	44783
HGLibA_30723	MYH3	96080	85246	104904	125177	120105	126315
HGLibA_30724	MYH3	13341	9976	89826	89823	97509	88036
HGLibB_30682	MYH3	26957	18531	82106	75862	32884	28405
HGLibA_31080	NAIP	21878	21283	78657	93188	32621	40969
HGLibA_31082	NAIP	19491	16886	52218	57778	21603	20705
HGLibB_31038	NAIP	53285	44625	76905	89117	37084	36543
HGLibA_31162	NASP	3641	2101	100620	103580	19685	18529
HGLibB_31118	NASP	63676	66208	61836	90863	63744	73365
HGLibB_31119	NASP	44152	29167	86673	60974	24449	29447
HGLibA_31599	NEDD1	29353	23431	48912	50341	55038	45959
HGLibB_31556	NEDD1	1486	966	9148	8515	7577	5707
HGLibB_31557	NEDD1	25985	18962	23505	28915	19678	20676
HGLibA_31671	NELFA	57128	168619	26994	104625	47262	157453
HGLibB_31627	NELFA	65075	135558	74786	192806	69063	157941
HGLibB_31628	NELFA	277161	339081	90878	115767	94911	150156
HGLibA_31675	NELFB	176880	589994	71325	271512	116965	416941
HGLibB_31630	NELFB	18445	57073	18541	61179	26386	76528
HGLibB_31632	NELFB	16111	41663	31096	80902	38482	118473
HGLibA_31678	NELFCD	156804	387166	95754	268748	109922	294996
HGLibB_31633	NELFCD	69042	187169	47053	181348	49126	168581
HGLibB_31635	NELFCD	129533	391481	74988	244612	75027	242861
HGLibA_32027	NKX1-2	201132	161476	199089	211796	176215	168888
HGLibA_32028	NKX1-2	57189	54544	72373	79012	57289	60560
HGLibB_31984	NKX1-2	95093	88232	58955	62010	67324	69907
HGLibA_32262	NOL12	123067	118414	70424	92740	95166	109635
HGLibB_32218	NOL12	54056	51138	75668	84418	57117	69918
HGLibB_32219	NOL12	244328	208935	157291	177120	122710	124459
HGLibA_32579	NR1H2	87302	67327	136273	126238	193104	179543
HGLibB_32535	NR1H2	20446	21764	74544	84992	63864	70169
HGLibB_32537	NR1H2	68212	54632	97129	99418	90000	94859
HGLibA_33085	NUPL2	49722	22707	53668	39691	88301	56854
HGLibB_33039	NUPL2	6711	5355	43230	37788	23244	20000
HGLibB_33040	NUPL2	26790	16000	56416	41092	23639	18108
HGLibA_33125	NXF1	4916	1988	12763	7481	17609	9183
HGLibA_33126	NXF1	62493	41715	80736	68850	86302	65945
HGLibB_33083	NXF1	23685	8255	41919	21954	27252	15125
HGLibA_33173	NXT1	175365	97621	120663	84809	144509	87838
HGLibA_33174	NXT1	45286	41219	82853	91633	47064	42899
HGLibB_33131	NXT1	72536	43138	62638	46301	63863	38497
HGLibB_57031	NonTargetingControlGuideForHuman_0003	103980	94548	105790	125931	124571	119153
HGLibB_57056	NonTargetingControlGuideForHuman_0028	197601	164123	138094	140620	171581	154901
HGLibB_57069	NonTargetingControlGuideForHuman_0041	394139	344728	218448	225249	319802	288139
HGLibB_57071	NonTargetingControlGuideForHuman_0043	156907	147445	137823	154515	178815	176235
HGLibB_57080	NonTargetingControlGuideForHuman_0052	247779	225274	121479	137504	214595	220637
HGLibB_57088	NonTargetingControlGuideForHuman_0060	133368	109805	162933	178347	175058	174706
HGLibB_57130	NonTargetingControlGuideForHuman_0102	374793	324779	96456	110168	120366	132258
HGLibB_57132	NonTargetingControlGuideForHuman_0104	154095	128322	138369	152086	169671	172713
HGLibB_57135	NonTargetingControlGuideForHuman_0107	94351	76792	94461	96513	62432	54471
HGLibB_57141	NonTargetingControlGuideForHuman_0113	188823	146676	101517	109391	121731	111823
HGLibB_57153	NonTargetingControlGuideForHuman_0125	81241	64309	75251	78245	65486	64743
HGLibB_57154	NonTargetingControlGuideForHuman_0126	233789	200178	159052	174882	207517	204809
HGLibB_57167	NonTargetingControlGuideForHuman_0139	47588	41649	67271	75433	29052	27959
HGLibB_57169	NonTargetingControlGuideForHuman_0141	252182	212946	214058	235949	280201	291451
HGLibB_57173	NonTargetingControlGuideForHuman_0145	59252	50844	138873	146536	82951	78304
HGLibB_57179	NonTargetingControlGuideForHuman_0151	99602	78129	119476	96490	129490	101813
HGLibB_57212	NonTargetingControlGuideForHuman_0184	123838	111642	93261	100432	103520	101267
HGLibB_57221	NonTargetingControlGuideForHuman_0193	173923	146751	158782	169928	126112	115941
HGLibB_57256	NonTargetingControlGuideForHuman_0228	157128	133751	148307	146275	147368	143451
HGLibB_57258	NonTargetingControlGuideForHuman_0230	162576	144748	137608	147771	81692	80385
HGLibB_57272	NonTargetingControlGuideForHuman_0244	41272	35067	95856	105692	48790	57470
HGLibB_57273	NonTargetingControlGuideForHuman_0245	28292	24487	75624	81399	73691	68293
HGLibB_57279	NonTargetingControlGuideForHuman_0251	341829	266150	141304	150568	140808	134380
HGLibB_57295	NonTargetingControlGuideForHuman_0267	130320	105101	168304	167263	146631	144685
HGLibB_57296	NonTargetingControlGuideForHuman_0268	6812	5889	39452	42257	57512	53326
HGLibB_57299	NonTargetingControlGuideForHuman_0271	12009	10616	64011	70725	91363	92531
HGLibB_57301	NonTargetingControlGuideForHuman_0273	308390	184752	188830	150863	205052	148328
HGLibB_57305	NonTargetingControlGuideForHuman_0277	369549	324086	181475	206020	299352	304806
HGLibB_57308	NonTargetingControlGuideForHuman_0280	14573	12581	119702	110548	72496	73748
HGLibB_57312	NonTargetingControlGuideForHuman_0284	190352	150711	149202	158780	196252	183747
HGLibB_57318	NonTargetingControlGuideForHuman_0290	370147	325925	163707	184798	183201	184289
HGLibB_57324	NonTargetingControlGuideForHuman_0296	216939	180595	150012	146859	142836	137638
HGLibB_57330	NonTargetingControlGuideForHuman_0302	112615	75447	93155	88488	94099	82427
HGLibB_57344	NonTargetingControlGuideForHuman_0316	56579	57823	52394	62464	74310	88701
HGLibB_57347	NonTargetingControlGuideForHuman_0319	139058	104475	202016	190328	120076	108946
HGLibB_57369	NonTargetingControlGuideForHuman_0341	162221	124250	130392	134578	128755	121172
HGLibB_57371	NonTargetingControlGuideForHuman_0343	55348	51419	101857	118807	75286	72163
HGLibB_57394	NonTargetingControlGuideForHuman_0366	10806	8745	112903	118174	67011	62653
HGLibB_57395	NonTargetingControlGuideForHuman_0367	326387	279058	234586	245115	307188	285576
HGLibB_57402	NonTargetingControlGuideForHuman_0374	112077	105442	129569	157744	149543	160421
HGLibB_57403	NonTargetingControlGuideForHuman_0375	148513	134290	108609	117018	113553	116780
HGLibB_57407	NonTargetingControlGuideForHuman_0379	100124	73634	85752	92010	137989	114763
HGLibB_57424	NonTargetingControlGuideForHuman_0396	77727	65178	95826	95864	49664	54863
HGLibB_57425	NonTargetingControlGuideForHuman_0397	85921	69996	70246	80326	83760	79221
HGLibB_57442	NonTargetingControlGuideForHuman_0414	260426	201570	104950	106460	110049	97734
HGLibB_57446	NonTargetingControlGuideForHuman_0418	77001	69525	77285	83266	55683	57987
HGLibB_57454	NonTargetingControlGuideForHuman_0426	159212	129595	144471	143234	113035	105578
HGLibB_57460	NonTargetingControlGuideForHuman_0432	75609	71216	81566	95328	103891	111383
HGLibB_57466	NonTargetingControlGuideForHuman_0438	165842	128223	90940	85445	122673	107696
HGLibB_57490	NonTargetingControlGuideForHuman_0462	77240	56029	102600	107838	73036	67085
HGLibB_57496	NonTargetingControlGuideForHuman_0468	15388	11010	90798	106698	56657	59039
HGLibB_57511	NonTargetingControlGuideForHuman_0483	36205	26429	58288	52290	37714	36577
HGLibB_57523	NonTargetingControlGuideForHuman_0495	112912	87149	79780	88842	90354	95355
HGLibB_57560	NonTargetingControlGuideForHuman_0532	107131	86469	118686	121301	49555	50016
HGLibB_57563	NonTargetingControlGuideForHuman_0535	64720	50085	74795	78057	47722	46479
HGLibB_57585	NonTargetingControlGuideForHuman_0557	117122	107981	89664	100870	126657	125754
HGLibB_57591	NonTargetingControlGuideForHuman_0563	75548	62215	70404	73566	54844	47989
HGLibB_57608	NonTargetingControlGuideForHuman_0580	245994	186197	144431	135456	182163	168962
HGLibB_57624	NonTargetingControlGuideForHuman_0596	54331	47308	82358	92516	92442	104067
HGLibB_57626	NonTargetingControlGuideForHuman_0598	43240	37204	94247	102365	63654	58951
HGLibB_57631	NonTargetingControlGuideForHuman_0603	367596	308644	204550	231857	227826	219264
HGLibB_57633	NonTargetingControlGuideForHuman_0605	154719	127657	143888	155002	167984	166924
HGLibB_57638	NonTargetingControlGuideForHuman_0610	27950	24415	92745	101409	108148	112399
HGLibB_57642	NonTargetingControlGuideForHuman_0614	243419	209002	174427	186999	224040	211004
HGLibB_57650	NonTargetingControlGuideForHuman_0622	26882	21330	97371	95740	63242	61383
HGLibB_57655	NonTargetingControlGuideForHuman_0627	45437	36365	27545	29815	34906	32949
HGLibB_57667	NonTargetingControlGuideForHuman_0639	223151	195118	267019	290722	203224	218509
HGLibB_57679	NonTargetingControlGuideForHuman_0651	124779	100116	187992	184570	124938	115857
HGLibB_57698	NonTargetingControlGuideForHuman_0670	64974	54256	139830	135536	155583	139630
HGLibB_57721	NonTargetingControlGuideForHuman_0693	108993	82316	112832	105712	57418	49829
HGLibB_57734	NonTargetingControlGuideForHuman_0706	107678	92434	175451	177741	244695	224998
HGLibB_57744	NonTargetingControlGuideForHuman_0716	1245	1245	64767	68716	54832	55348
HGLibB_57759	NonTargetingControlGuideForHuman_0731	75194	62045	118924	106459	42819	41040
HGLibB_57770	NonTargetingControlGuideForHuman_0742	31399	28731	32112	35744	58386	56975
HGLibB_57771	NonTargetingControlGuideForHuman_0743	240270	198413	109056	116756	208501	208037
HGLibB_57780	NonTargetingControlGuideForHuman_0752	90847	76970	96028	99532	89421	83444
HGLibB_57812	NonTargetingControlGuideForHuman_0784	35734	26130	59880	54889	62445	56048
HGLibB_57816	NonTargetingControlGuideForHuman_0788	2896	3631	54546	65460	35185	33494
HGLibB_57826	NonTargetingControlGuideForHuman_0798	149073	111137	106935	108014	129271	113071
HGLibB_57844	NonTargetingControlGuideForHuman_0816	194713	169161	188966	199820	152135	152268
HGLibB_57858	NonTargetingControlGuideForHuman_0830	5757	5031	58612	56956	24638	23068
HGLibB_57859	NonTargetingControlGuideForHuman_0831	128590	112346	140855	164897	162162	165893
HGLibB_57871	NonTargetingControlGuideForHuman_0843	159928	137248	151570	148901	131486	132609
HGLibB_57899	NonTargetingControlGuideForHuman_0871	600043	510943	179688	190871	350733	341676
HGLibB_57906	NonTargetingControlGuideForHuman_0878	5709	6152	64512	63890	71741	65553
HGLibB_57952	NonTargetingControlGuideForHuman_0924	31781	27166	64446	73657	21353	21102
HGLibB_57960	NonTargetingControlGuideForHuman_0932	35096	28526	64264	70489	75196	76400
HGLibB_57975	NonTargetingControlGuideForHuman_0947	42722	35948	68200	72901	61688	61378
HGLibB_57978	NonTargetingControlGuideForHuman_0950	40511	32289	110163	106595	49858	43363
HGLibB_57988	NonTargetingControlGuideForHuman_0960	111838	68640	94931	84477	145790	121356
HGLibB_57989	NonTargetingControlGuideForHuman_0961	12610	8033	36410	28827	27521	21425
HGLibB_58016	NonTargetingControlGuideForHuman_0988	31533	33398	54274	54302	46041	49331
HGLibB_58018	NonTargetingControlGuideForHuman_0990	65070	51833	86232	95973	93174	91094
HGLibB_58026	NonTargetingControlGuideForHuman_0998	29574	22419	81130	83748	36305	36255
HGLibA_33194	OARD1	8486	9262	34649	36411	33685	34232
HGLibA_33196	OARD1	15765	11208	76887	68976	31129	31092
HGLibB_33152	OARD1	5972	5504	44929	50110	30142	28959
HGLibA_33829	OR2L8	32444	25072	68281	74540	31953	28059
HGLibA_33830	OR2L8	83305	73483	83857	89127	78662	78713
HGLibB_33786	OR2L8	115769	114854	158462	189890	147992	157277
HGLibA_33875	OR2T33	111639	140431	86092	114253	89027	103216
HGLibB_33829	OR2T33	159005	161371	64388	75068	87304	101220
HGLibB_33831	OR2T33	6968	8750	45958	50092	38992	40086
HGLibA_33949	OR4C16	25455	19796	61164	66016	35351	33432
HGLibA_33950	OR4C16	68969	61196	89851	94911	37764	38352
HGLibA_33951	OR4C16	79403	72448	49972	50400	30120	28314
HGLibA_34397	OR6C65	36915	25734	87268	84847	65546	60461
HGLibA_34398	OR6C65	87273	75200	60172	59034	63953	61050
HGLibB_34351	OR6C65	43419	34236	70335	73191	29700	26685
HGLibB_34510	OR8U1	41664	39098	50275	52209	42383	44679
HGLibB_34511	OR8U1	25515	16035	46849	40189	27455	27118
HGLibB_34512	OR8U1	49954	40936	140956	123033	52111	49065
HGLibA_34588	ORAI1	77630	60593	85307	92068	81529	72147
HGLibA_34590	ORAI1	67366	62848	193260	216750	118918	116982
HGLibB_34543	ORAI1	267864	220386	126534	144141	193316	183329
HGLibA_36587	PIGT	62750	41518	67429	64403	108014	93224
HGLibA_36588	PIGT	73630	48446	73910	55757	45624	36114
HGLibB_36541	PIGT	21863	18672	79756	86779	77707	73519
HGLibA_36791	PKD1L1	11557	9955	69613	73478	90044	91461
HGLibA_36792	PKD1L1	55073	47525	69673	80253	55285	56638
HGLibB_36745	PKD1L1	26308	18364	28501	31040	49906	49507
HGLibA_36885	PLA2G2A	49812	42124	56851	71990	48885	53111
HGLibB_36838	PLA2G2A	25196	21941	47476	55450	48143	54367
HGLibB_36839	PLA2G2A	33279	24075	58424	66619	28351	27743
HGLibA_37070	PLEKHA4	43245	38707	61442	71417	59395	61140
HGLibA_37072	PLEKHA4	175207	169094	112120	130510	126837	139551
HGLibB_37024	PLEKHA4	4	46	27939	33514	9756	11227
HGLibA_38100	PPP1R3B	30490	24494	44357	44685	70285	67149
HGLibA_38101	PPP1R3B	114500	103927	65859	80367	47069	50300
HGLibB_38052	PPP1R3B	53752	47594	60686	63696	48198	52081
HGLibA_38590	PRKRIR	2702	2060	50438	39980	35038	28154
HGLibA_38591	PRKRIR	29931	21039	17356	17329	18958	17869
HGLibB_38541	PRKRIR	40677	26976	59463	58958	31730	29109
HGLibA_38952	PRSS50	594124	473114	293585	312535	343895	301367
HGLibB_38903	PRSS50	58628	54420	55623	62573	50169	59714
HGLibB_38904	PRSS50	122116	97235	100056	103033	131439	141936
HGLibA_39153	PSMD11	94000	84011	94960	104276	93539	85292
HGLibA_39154	PSMD11	114048	85824	73355	75185	54383	55234
HGLibB_39104	PSMD11	39989	37948	156166	181455	75028	80448
HGLibA_39969	RAB6A	64480	37924	41977	31034	36904	29980
HGLibA_39970	RAB6A	92546	41849	44233	27433	55416	28535
HGLibA_39971	RAB6A	132706	100474	79959	83646	94215	93356
HGLibA_40056	RAD17	19495	14871	24987	35635	19069	24893
HGLibA_40057	RAD17	22714	21301	58991	60904	46275	46770
HGLibB_40006	RAD17	2927	1791	55633	50148	14069	13664
HGLibA_40107	RAD9A	17638	16827	18079	23134	26732	33333
HGLibA_40109	RAD9A	140847	136440	80551	92769	90601	101127
HGLibB_40056	RAD9A	99542	92048	69186	66060	75711	72018
HGLibA_40226	RAP1GAP	144530	128906	142093	162687	82494	78311
HGLibA_40227	RAP1GAP	70596	60343	120829	117264	70617	62052
HGLibB_40176	RAP1GAP	189250	155219	105697	105933	58510	56264
HGLibA_40429	RBBP4	20213	36185	27991	68070	20460	36118
HGLibB_40376	RBBP4	123659	100942	116120	120621	79908	87514
HGLibB_40378	RBBP4	35202	58862	28211	68269	30934	66179
HGLibA_40727	RD3L	92177	78319	81450	97030	50973	53803
HGLibB_40676	RD3L	54045	49415	81387	77483	84904	88365
HGLibB_40677	RD3L	185976	138463	60474	59758	37080	31526
HGLibA_40734	RDH11	51526	43208	89571	95508	77991	71384
HGLibA_40735	RDH11	184475	159891	135814	137651	129335	130256
HGLibB_40682	RDH11	131474	113494	71330	81224	63635	66215
HGLibA_40742	RDH14	550262	437030	191195	185124	337036	298595
HGLibA_40744	RDH14	73237	56083	99383	89784	75299	69047
HGLibB_40691	RDH14	335144	232603	138699	121401	128851	127726
HGLibA_40756	RDM1	78286	71255	52507	62563	67503	65620
HGLibB_40703	RDM1	29698	35678	31311	38851	33597	40334
HGLibB_40705	RDM1	48610	40390	70263	69092	28780	26959
HGLibA_40917	RFESD	57575	50532	71929	76107	33515	30309
HGLibA_40918	RFESD	79310	69962	47255	57680	46857	47709
HGLibB_40867	RFESD	60458	44148	97172	94905	26009	22458
HGLibA_41098	RGS5	99285	89319	60217	71565	46182	54836
HGLibB_41045	RGS5	28514	24640	90996	101181	77300	79833
HGLibB_41047	RGS5	31017	20953	80942	89939	32587	35252
HGLibA_41358	RLN3	54922	42752	54185	56916	58603	53663
HGLibB_41305	RLN3	43421	27998	73530	58405	73957	57716
HGLibB_41307	RLN3	155479	128019	47283	58499	56393	60647
HGLibA_41387	RNASE1	155216	116870	177725	159953	159598	139273
HGLibA_41388	RNASE1	79599	78503	89767	103591	81570	87379
HGLibB_41336	RNASE1	68007	70073	62426	70568	64886	75009
HGLibA_42703	SAMHD1	6946	4702	33901	37735	19518	16856
HGLibA_42705	SAMHD1	21341	16250	68038	73128	100271	103708
HGLibB_42652	SAMHD1	15539	11615	29743	31545	23904	24521
HGLibA_42726	SAP30BP	10920	8745	27644	24930	11608	10706
HGLibB_42671	SAP30BP	37421	33647	54790	70399	77777	86323
HGLibB_42673	SAP30BP	21725	18744	32444	36906	37697	36159
HGLibA_43086	SCYL1	45565	37754	29694	28611	19940	18342
HGLibB_43032	SCYL1	58119	50397	49947	55795	58165	63313
HGLibB_43033	SCYL1	176674	168216	56785	65973	60133	63657
HGLibA_43549	SERPINB3	36897	32285	48563	53239	46832	47209
HGLibA_43551	SERPINB3	8556	6983	50889	57963	48774	49225
HGLibB_43496	SERPINB3	67649	52234	90075	93497	87597	85223
HGLibA_43599	SERPINI1	218613	174290	123206	116628	155143	142405
HGLibB_43545	SERPINI1	32809	28660	129809	123552	84910	82861
HGLibB_43546	SERPINI1	101958	85576	172307	181767	85783	80836
HGLibA_43619	SESN1	241070	203054	178358	176454	166716	153307
HGLibA_43620	SESN1	70161	48153	72390	80038	68017	58655
HGLibB_43567	SESN1	18438	11757	16469	15635	23334	18054
HGLibA_43722	SFMBT1	57225	42387	101347	107775	70437	63600
HGLibB_43668	SFMBT1	55958	44899	97288	107856	66040	63645
HGLibB_43669	SFMBT1	100597	85752	65058	75306	90279	83801
HGLibA_43913	SH3BGR	77404	52789	62736	60975	62531	58454
HGLibA_43914	SH3BGR	36134	28243	57570	63388	41643	42583
HGLibB_43859	SH3BGR	39264	35011	59459	53212	29099	28231
HGLibA_44026	SHFM1	27454	8440	34095	10364	31274	11749
HGLibA_44028	SHFM1	58066	25158	73548	44445	44760	25585
HGLibB_43973	SHFM1	46071	21722	43027	23339	53998	24997
HGLibA_44176	SIM2	81137	66232	113042	110578	125785	125345
HGLibA_44177	SIM2	53149	50086	86186	93841	75318	76692
HGLibB_44125	SIM2	18951	16833	46282	31098	54937	52545
HGLibA_45621	SMARCB1	44702	24074	40093	26797	59709	35689
HGLibB_45564	SMARCB1	21713	10611	33397	20320	40878	22869
HGLibB_45565	SMARCB1	62377	40391	102109	80720	49025	33843
HGLibA_45727	SMIM13	92889	95843	63794	88369	108831	127513
HGLibA_45728	SMIM13	143548	134373	74361	91149	111664	110227
HGLibB_45674	SMIM13	59757	54127	60330	67505	40463	41367
HGLibA_46936	SRCRB4D	50581	42503	66219	77829	55913	59494
HGLibB_46880	SRCRB4D	280851	219800	142562	140992	142262	123879
HGLibB_46881	SRCRB4D	5579	2979	102926	98701	42595	32402
HGLibA_47064	SRSF10	38670	19745	39728	28972	52558	33539
HGLibB_47005	SRSF10	12409	9158	36861	35394	13962	12338
HGLibB_47006	SRSF10	6266	4187	54088	47226	22317	20695
HGLibA_47464	STK17B	31409	22233	39891	34657	22399	22139
HGLibB_47408	STK17B	52938	42167	48042	48252	29222	29274
HGLibB_47409	STK17B	70233	68451	73786	82479	32548	33234
HGLibA_47629	STX18	8360	7789	33432	33357	8439	8737
HGLibA_47630	STX18	29207	26114	45073	49373	23384	24379
HGLibB_47574	STX18	6198	3686	50012	54844	90629	92517
HGLibA_47843	SUSD1	130542	122443	87843	93605	71165	66830
HGLibA_47844	SUSD1	114297	113192	103979	119910	102011	110815
HGLibA_47845	SUSD1	66690	57449	46695	50993	80720	86754
HGLibA_47891	SVOP	13315	9817	25601	22674	12462	10846
HGLibA_47892	SVOP	167846	118368	184654	150338	170575	130105
HGLibB_47835	SVOP	31723	25355	50429	57555	22157	22875
HGLibA_47950	SYK	18708	13209	77745	82209	45486	44466
HGLibB_47889	SYK	65440	55186	63844	72560	88094	85089
HGLibB_47890	SYK	46118	36140	85764	90085	49778	44654
HGLibA_48259	TAF8	26018	18685	25950	22744	34728	29861
HGLibB_48198	TAF8	13648	10997	37685	39093	38371	37543
HGLibB_48200	TAF8	41340	38965	32874	36082	21927	23992
HGLibA_48300	TANGO6	60415	45940	49802	48865	57222	50972
HGLibA_48301	TANGO6	35267	27346	32534	28935	34839	32284
HGLibB_48241	TANGO6	17513	13015	65035	63896	38816	40084
HGLibA_48414	TAS2R46	33633	23736	99105	118832	54657	58281
HGLibB_48355	TAS2R46	144977	116209	109902	123517	148961	135670
HGLibB_48356	TAS2R46	10470	6515	110896	125993	43163	44288
HGLibA_48482	TBC1D15	42841	36977	72997	91569	78835	77222
HGLibB_48422	TBC1D15	209662	189676	111248	122810	147013	151624
HGLibB_48424	TBC1D15	41200	30157	43712	37021	27559	25088
HGLibA_48880	TDG	59940	57734	69649	76426	52547	52960
HGLibA_48882	TDG	70330	66705	69244	87795	69325	82170
HGLibB_48821	TDG	22992	18573	51752	58179	30766	27442
HGLibA_48887	TDO2	34805	26047	60554	66061	50084	44620
HGLibA_48888	TDO2	131338	102646	87641	103104	114877	114405
HGLibB_48828	TDO2	23908	22067	150024	155138	57957	52734
HGLibA_49196	TFRC	14248	12685	28762	35188	30269	34060
HGLibB_49136	TFRC	17082	19487	35343	48654	15930	20754
HGLibB_49137	TFRC	13190	12412	32570	38041	29922	33121
HGLibA_49411	THTPA	261336	257970	95851	121960	127558	141014
HGLibA_49412	THTPA	184082	174879	187567	231555	229722	262524
HGLibB_49353	THTPA	77151	77523	95271	101931	61018	66856
HGLibA_49642	TLR10	35777	27510	83461	83357	63750	62598
HGLibA_49643	TLR10	15376	12287	42546	44410	22682	20640
HGLibB_49583	TLR10	13836	11256	54075	61876	24812	23671
HGLibA_49714	TM7SF2	89355	68940	34756	34807	54580	47846
HGLibB_49654	TM7SF2	84951	37058	52554	30286	58396	26620
HGLibB_49655	TM7SF2	93849	81220	122338	136430	93504	89202
HGLibA_49724	TM9SF2	28519	27293	46582	64195	29289	36817
HGLibA_49725	TM9SF2	59301	51910	33987	32062	47217	46550
HGLibB_49665	TM9SF2	47347	48597	43657	50325	29246	36533
HGLibA_49729	TM9SF4	18983	15356	36914	48302	16065	16524
HGLibA_49731	TM9SF4	130343	99646	96063	81374	101609	80793
HGLibB_49671	TM9SF4	12562	9040	40093	31668	20940	20514
HGLibA_49865	TMEM108	46267	39570	31367	41934	41504	38590
HGLibA_49866	TMEM108	164360	123832	99686	112985	151523	150424
HGLibB_49806	TMEM108	255709	213135	105764	119319	146177	140005
HGLibA_49873	TMEM110	224348	186107	177343	186881	167592	169547
HGLibB_49813	TMEM110	32591	27127	61828	61765	30961	29666
HGLibB_49814	TMEM110	54776	50827	79387	77250	63229	60216
HGLibA_50520	TMEM81	8469	6047	34350	26996	40187	30096
HGLibB_50458	TMEM81	62191	56048	51878	65536	70642	83453
HGLibB_50460	TMEM81	138846	113314	165538	164891	172393	169478
HGLibA_51063	TP53I13	16889	20218	18005	21561	8078	9305
HGLibA_51064	TP53I13	141446	123470	60325	61887	109947	108669
HGLibB_51001	TP53I13	145269	119519	162614	160584	218786	201252
HGLibA_51246	TRAF3	44333	38220	45395	50149	49102	48010
HGLibA_51247	TRAF3	34177	25889	88890	90540	30337	30335
HGLibB_51183	TRAF3	19566	20233	17831	19398	11631	7475
HGLibB_51197	TRAF5	4233	4283	27293	33672	61903	62419
HGLibB_51198	TRAF5	67324	53630	33150	33491	48568	51743
HGLibB_51199	TRAF5	135748	113157	138643	127827	64648	62133
HGLibA_51564	TRIM60	38070	28371	95988	96162	54546	53170
HGLibB_51500	TRIM60	52577	45897	50337	53619	36330	33546
HGLibB_51501	TRIM60	165660	148082	127066	147565	129935	127360
HGLibA_52081	TTC23L	50186	37777	110356	105775	43827	36583
HGLibA_52082	TTC23L	21801	24318	68530	79609	37999	43072
HGLibB_52015	TTC23L	23252	24675	23880	33540	28008	34155
